,abstract_text,abstract_url,best_result,image_url
Booba,"Elie Yaffa, better known under his stage name Booba is a French rapper. After a brief stint as a break dancer in the early 1990s, Booba partnered with his friend Ali to form Lunatic. The duo released a critically acclaimed album in 2000 but disbanded in 2003. Booba has since embarked on a successful solo career, selling more than 10 million discs over his career and becoming the most legally downloaded artist in French history. Booba is praised for the quality of his flow and beats but often criticized because of controversial nature of his lyrics. He has also established the rap label Tallac Records, and developed a line of jewellery.",https://en.wikipedia.org/wiki/Booba,"Elie Yaffa, better known under his stage name Booba is a French rapper. After a brief stint as a break dancer in the early 1990s, Booba partnered with his friend Ali to form Lunatic. The duo released a critically acclaimed album in 2000 but disbanded in 2003. Booba has since embarked on a successful solo career, selling more than 10 million discs over his career and becoming the most legally downloaded artist in French history. Booba is praised for the quality of his flow and beats but often criticized because of controversial nature of his lyrics. He has also established the rap label Tallac Records, and developed a line of jewellery. (https://en.wikipedia.org/wiki/Booba)",https://duckduckgo.com/i/0167cf4f.jpg
Andre Romelle Young,"Andre Romelle Young, better known by his stage name Dr. Dre, is an American rapper, record producer and entrepreneur. He is the founder and current CEO of Aftermath Entertainment and Beats Electronics. Dre was previously the co-owner of, and an artist on, Death Row Records. He has produced albums for and overseen the careers of many rappers, including 2Pac, The D.O.C., Snoop Dogg, Eminem, Xzibit, Knoc-turn'al, 50 Cent, The Game, and Kendrick Lamar. He is credited as a key figure in the popularization of West Coast G-funk, a style of rap music characterized as synthesizer-based with slow, heavy beats. As of 2017, he is the third richest figure in hip hop according to Forbes with a net worth of $740 million.",https://en.wikipedia.org/wiki/Dr._Dre,"Andre Romelle Young, better known by his stage name Dr. Dre, is an American rapper, record producer and entrepreneur. He is the founder and current CEO of Aftermath Entertainment and Beats Electronics. Dre was previously the co-owner of, and an artist on, Death Row Records. He has produced albums for and overseen the careers of many rappers, including 2Pac, The D.O.C., Snoop Dogg, Eminem, Xzibit, Knoc-turn'al, 50 Cent, The Game, and Kendrick Lamar. He is credited as a key figure in the popularization of West Coast G-funk, a style of rap music characterized as synthesizer-based with slow, heavy beats. As of 2017, he is the third richest figure in hip hop according to Forbes with a net worth of $740 million. (https://en.wikipedia.org/wiki/Dr._Dre)",https://duckduckgo.com/i/3862a395.jpg
Booba,"Elie Yaffa, better known under his stage name Booba is a French rapper. After a brief stint as a break dancer in the early 1990s, Booba partnered with his friend Ali to form Lunatic. The duo released a critically acclaimed album in 2000 but disbanded in 2003. Booba has since embarked on a successful solo career, selling more than 10 million discs over his career and becoming the most legally downloaded artist in French history. Booba is praised for the quality of his flow and beats but often criticized because of controversial nature of his lyrics. He has also established the rap label Tallac Records, and developed a line of jewellery.",https://en.wikipedia.org/wiki/Booba,"Elie Yaffa, better known under his stage name Booba is a French rapper. After a brief stint as a break dancer in the early 1990s, Booba partnered with his friend Ali to form Lunatic. The duo released a critically acclaimed album in 2000 but disbanded in 2003. Booba has since embarked on a successful solo career, selling more than 10 million discs over his career and becoming the most legally downloaded artist in French history. Booba is praised for the quality of his flow and beats but often criticized because of controversial nature of his lyrics. He has also established the rap label Tallac Records, and developed a line of jewellery. (https://en.wikipedia.org/wiki/Booba)",https://duckduckgo.com/i/0167cf4f.jpg
Bruno Beausir,,,https://www.facebook.com/public/Bruno-Beausir,
Booba,"Elie Yaffa, better known under his stage name Booba is a French rapper. After a brief stint as a break dancer in the early 1990s, Booba partnered with his friend Ali to form Lunatic. The duo released a critically acclaimed album in 2000 but disbanded in 2003. Booba has since embarked on a successful solo career, selling more than 10 million discs over his career and becoming the most legally downloaded artist in French history. Booba is praised for the quality of his flow and beats but often criticized because of controversial nature of his lyrics. He has also established the rap label Tallac Records, and developed a line of jewellery.",https://en.wikipedia.org/wiki/Booba,"Elie Yaffa, better known under his stage name Booba is a French rapper. After a brief stint as a break dancer in the early 1990s, Booba partnered with his friend Ali to form Lunatic. The duo released a critically acclaimed album in 2000 but disbanded in 2003. Booba has since embarked on a successful solo career, selling more than 10 million discs over his career and becoming the most legally downloaded artist in French history. Booba is praised for the quality of his flow and beats but often criticized because of controversial nature of his lyrics. He has also established the rap label Tallac Records, and developed a line of jewellery. (https://en.wikipedia.org/wiki/Booba)",https://duckduckgo.com/i/0167cf4f.jpg
Bruno Lopes,,https://en.wikipedia.org/wiki/Bruno_Lopes,Bruno Henrique Lopes Brazilian football forward. (https://duckduckgo.com/Bruno_Henrique_Lopes?v=i&kp=1),
Booba,"Elie Yaffa, better known under his stage name Booba is a French rapper. After a brief stint as a break dancer in the early 1990s, Booba partnered with his friend Ali to form Lunatic. The duo released a critically acclaimed album in 2000 but disbanded in 2003. Booba has since embarked on a successful solo career, selling more than 10 million discs over his career and becoming the most legally downloaded artist in French history. Booba is praised for the quality of his flow and beats but often criticized because of controversial nature of his lyrics. He has also established the rap label Tallac Records, and developed a line of jewellery.",https://en.wikipedia.org/wiki/Booba,,https://duckduckgo.com/i/0167cf4f.jpg
Didier Morville,"Didier Morville, better known by his stage name JoeyStarr with additional alias as Jaguar Gorgone or Double R, is a French rapper, from Saint-Denis. He co-founded the famous French rap group Suprême NTM in 1989 along with Kool Shen. He was born on 27 October 1967.",https://en.wikipedia.org/wiki/Joeystarr,,https://duckduckgo.com/i/9c228ee7.jpg
Booba,"Elie Yaffa, better known under his stage name Booba is a French rapper. After a brief stint as a break dancer in the early 1990s, Booba partnered with his friend Ali to form Lunatic. The duo released a critically acclaimed album in 2000 but disbanded in 2003. Booba has since embarked on a successful solo career, selling more than 10 million discs over his career and becoming the most legally downloaded artist in French history. Booba is praised for the quality of his flow and beats but often criticized because of controversial nature of his lyrics. He has also established the rap label Tallac Records, and developed a line of jewellery.",https://en.wikipedia.org/wiki/Booba,,https://duckduckgo.com/i/0167cf4f.jpg
Dwayne Johnson,"Dwayne Douglas Johnson, also known by his ring name The Rock, is an American actor, producer, and semi-retired professional wrestler.",https://en.wikipedia.org/wiki/Dwayne_Johnson,,https://duckduckgo.com/i/639d3832.jpg
Booba,"Elie Yaffa, better known under his stage name Booba is a French rapper. After a brief stint as a break dancer in the early 1990s, Booba partnered with his friend Ali to form Lunatic. The duo released a critically acclaimed album in 2000 but disbanded in 2003. Booba has since embarked on a successful solo career, selling more than 10 million discs over his career and becoming the most legally downloaded artist in French history. Booba is praised for the quality of his flow and beats but often criticized because of controversial nature of his lyrics. He has also established the rap label Tallac Records, and developed a line of jewellery.",https://en.wikipedia.org/wiki/Booba,,https://duckduckgo.com/i/0167cf4f.jpg
Elie Yaffa,,,,
